	sample_name	sample_code	path_to_mtx_filtered_directory	path_to_mtx_raw_directory	multiplexing_group_name
0	2-2	2_2a	../data/CtrlCBA-2Bis/filtered/	../data/CtrlCBA-2Bis/raw/	pouloup
1	2-3	2_3a	../data/CtrlCBA-2Bis/filtered/	../data/CtrlCBA-2Bis/raw/	pouloup
2	5-2	5_2a	../data/CtrlCBA-2Bis/filtered/	../data/CtrlCBA-2Bis/raw/	pouloup
3	5-5	5_5a	../data/CtrlCBA-2Bis/filtered/	../data/CtrlCBA-2Bis/raw/	pouloup
